feature,mean_importance
TrainingTimesLastYear,-0.006466079049089524
EmployeeNumber,-0.0058675651700573535
Education,-0.004480703194265434
DistanceFromHome,-0.004161773484581954
MonthlyRate,-0.003523020430999646
HourlyRate,-0.0033491890255770264
StockOptionLevel,-0.0025520488006974596
RelationshipSatisfaction,-0.002499874155116044
YearsInCurrentRole,-0.0009974227611530217
Gender,-0.0008819345370816411
EnvironmentSatisfaction,-0.0005083022562696104
YearsSinceLastPromotion,-0.00047724550580815486
PerformanceRating,0.0
JobInvolvement,0.0002303873762261266
WorkLifeBalance,0.0005550069659789547
JobRole,0.001274865881089593
DailyRate,0.001780072932297916
BusinessTravel,0.0023902851651994793
YearsAtCompany,0.0031814450404535565
EducationField,0.003929157173544117
Department,0.004481273122757356
PercentSalaryHike,0.004710306529478392
TotalWorkingYears,0.00521841470547083
MaritalStatus,0.007750281970261031
YearsWithCurrManager,0.01236033971924646
JobLevel,0.013936873609714883
JobSatisfaction,0.01443954365973873
NumCompaniesWorked,0.015203731349879613
Age,0.018821651134530847
MonthlyIncome,0.025227189022023245
OverTime,0.05931591780718495
