feature,mean_importance
DailyRate,-0.0008511197348674004
MonthlyRate,-0.0006463735447825969
PercentSalaryHike,-0.00046041660543824083
WorkLifeBalance,-0.00014759547304707966
YearsAtCompany,-8.063002143049447e-05
PerformanceRating,0.0
Gender,2.2926562498226664e-05
Education,5.5969914317877126e-05
EmployeeNumber,0.00029640850347593115
HourlyRate,0.00035736261539814906
MaritalStatus,0.0005076945738167526
TrainingTimesLastYear,0.0007557611297081546
BusinessTravel,0.0007648241716368687
YearsSinceLastPromotion,0.0008992890322600866
DistanceFromHome,0.001109927980067138
EnvironmentSatisfaction,0.0011619726722538637
YearsInCurrentRole,0.0014062734333592287
RelationshipSatisfaction,0.0015045125561590988
JobInvolvement,0.001645007495243922
EducationField,0.0018856441493278696
Department,0.0020972146402892912
NumCompaniesWorked,0.002895040859904252
JobRole,0.003112871892611524
JobSatisfaction,0.0035308727936553706
TotalWorkingYears,0.005291906917392908
Age,0.005349684415365397
YearsWithCurrManager,0.006111968062121787
JobLevel,0.00760613697682484
StockOptionLevel,0.008623954639893173
MonthlyIncome,0.013415146605315032
OverTime,0.023838042395363312
