feature,mean_importance
RelationshipSatisfaction,-0.0009614379662989836
Education,-0.0007708058124076156
YearsSinceLastPromotion,-0.0005792918199769459
Gender,-0.0002572849514263176
BusinessTravel,-0.0002332751040864278
PerformanceRating,-7.955044703907843e-05
PercentSalaryHike,0.0001318479341398282
YearsInCurrentRole,0.0006757306451790401
TrainingTimesLastYear,0.0006947952822611514
MonthlyRate,0.000715615414646087
DistanceFromHome,0.0007482753003346554
JobInvolvement,0.001215992371245589
WorkLifeBalance,0.001466655765708569
EducationField,0.002046637149351904
JobRole,0.002111130587060328
DailyRate,0.002436499070672715
NumCompaniesWorked,0.003203568691028724
Department,0.0032821084447295255
EmployeeNumber,0.0035818151341227345
TotalWorkingYears,0.00401014364748048
JobLevel,0.00546606928711062
YearsAtCompany,0.00599421906393266
JobSatisfaction,0.0063873904432049326
MaritalStatus,0.0066844572308388025
EnvironmentSatisfaction,0.006806092660073826
HourlyRate,0.008843130662255083
StockOptionLevel,0.008895853916066333
YearsWithCurrManager,0.012135673076224462
Age,0.01391363424133395
MonthlyIncome,0.019508098515065055
OverTime,0.05210390753731623
