name,model_type,metric_type,metric_value,train_time
1_Default_LightGBM,LightGBM,accuracy,0.8675,5.9
2_LightGBM,LightGBM,accuracy,0.875,5.1
3_LightGBM,LightGBM,accuracy,0.8775,5.42
4_LightGBM,LightGBM,accuracy,0.865,5.42
5_LightGBM,LightGBM,accuracy,0.8666666666666667,5.7
6_LightGBM,LightGBM,accuracy,0.88,5.26
7_LightGBM,LightGBM,accuracy,0.8725,5.49
8_LightGBM,LightGBM,accuracy,0.8691666666666666,5.37
9_LightGBM,LightGBM,accuracy,0.8725,5.35
10_LightGBM,LightGBM,accuracy,0.87,5.58
11_LightGBM,LightGBM,accuracy,0.88,5.63
12_LightGBM,LightGBM,accuracy,0.88,5.8
13_LightGBM,LightGBM,accuracy,0.875,5.33
14_LightGBM,LightGBM,accuracy,0.8733333333333333,6.09
15_LightGBM,LightGBM,accuracy,0.8741666666666666,5.8
16_LightGBM,LightGBM,accuracy,0.8716666666666667,5.5
17_LightGBM,LightGBM,accuracy,0.8716666666666667,5.76
18_LightGBM,LightGBM,accuracy,0.8716666666666667,6.06
19_LightGBM,LightGBM,accuracy,0.88,6.19
20_LightGBM,LightGBM,accuracy,0.88,5.82
