feature,mean_importance
EnvironmentSatisfaction,-0.0043404107834033034
JobSatisfaction,-0.003073112642943865
YearsAtCompany,-0.002017126479950859
JobInvolvement,-0.0017792649571652052
MonthlyRate,-0.0006544547019628477
HourlyRate,-4.0506239148452304e-05
PerformanceRating,0.0
PercentSalaryHike,2.814351586893915e-05
Gender,0.00022684354868706124
Education,0.00034300829965362435
BusinessTravel,0.0004929363902126171
RelationshipSatisfaction,0.0005645828411350639
EducationField,0.0006735689120159871
TotalWorkingYears,0.0006885098480126972
WorkLifeBalance,0.0007294616953358978
NumCompaniesWorked,0.0009201361201291891
TrainingTimesLastYear,0.0009378797261261673
YearsSinceLastPromotion,0.0012007652046483574
DailyRate,0.0013343542067801527
YearsInCurrentRole,0.0018100156584898053
StockOptionLevel,0.0019083400117909433
JobRole,0.0025217823417323926
MaritalStatus,0.0038553134196736005
EmployeeNumber,0.004080206232570438
YearsWithCurrManager,0.005300820102249348
JobLevel,0.00582155173074087
Age,0.008198182152799627
DistanceFromHome,0.008226368013466401
Department,0.013579638300759079
MonthlyIncome,0.022802473475177575
OverTime,0.03570688726453031
