feature,mean_importance
TrainingTimesLastYear,-0.0009441393534503018
EmployeeNumber,-0.0007829751108953231
EducationField,-0.0003589333358922753
YearsSinceLastPromotion,-0.0002358958944294609
WorkLifeBalance,-0.0001419939249589719
Gender,0.0
BusinessTravel,0.0
Education,0.0
RelationshipSatisfaction,0.0
PerformanceRating,0.0
MonthlyRate,5.022811179076214e-05
HourlyRate,6.897424907927884e-05
YearsInCurrentRole,0.00011935150707879095
TotalWorkingYears,0.00031636926371624295
DailyRate,0.00040940714057611236
YearsWithCurrManager,0.000619125457280778
PercentSalaryHike,0.0006782876881957333
JobInvolvement,0.0007538822781495647
NumCompaniesWorked,0.0011950927508962538
MaritalStatus,0.001287365598168455
JobLevel,0.001982616044070196
YearsAtCompany,0.003079313549470275
Department,0.0032470895974174518
JobRole,0.0038112152654943944
DistanceFromHome,0.0050174984743281085
EnvironmentSatisfaction,0.005731185027984443
JobSatisfaction,0.00894357312731876
Age,0.010893495668671982
MonthlyIncome,0.012158316142536785
StockOptionLevel,0.016710176537774825
OverTime,0.03484776965091886
