dataset,dataset_type,name,eval_metric,metric_value
Abalone,reg,Baseline,rmse,3.2255700443161515
Abalone,reg,CatBoost,rmse,2.1522316897743794
Abalone,reg,Decision Tree,rmse,2.385230234977778
Abalone,reg,Extra Trees,rmse,2.2528311716103806
Abalone,reg,LightGBM,rmse,2.133115848168656
Abalone,reg,Neural Network,rmse,2.121247430200833
Abalone,reg,Random Forest,rmse,2.160422466384005
Abalone,reg,Xgboost,rmse,2.123218216073879
Adult,binary,Baseline,accuracy,0.7607182343065395
Adult,binary,CatBoost,accuracy,0.8743908930838213
Adult,binary,Decision Tree,accuracy,0.8451742352893002
Adult,binary,Extra Trees,accuracy,0.8501085131648991
Adult,binary,LightGBM,accuracy,0.8761107243765611
Adult,binary,Neural Network,accuracy,0.8521354571884853
Adult,binary,Random Forest,accuracy,0.8584619794439212
Adult,binary,Xgboost,accuracy,0.876294992015069
Airlines_depdelay_1m,reg,Baseline,rmse,28.87721102226548
Airlines_depdelay_1m,reg,CatBoost,rmse,28.230388861129033
Airlines_depdelay_1m,reg,Decision Tree,rmse,28.573321728898776
Airlines_depdelay_1m,reg,Extra Trees,rmse,28.51363839411126
Airlines_depdelay_1m,reg,LightGBM,rmse,28.20115102849935
Airlines_depdelay_1m,reg,Neural Network,rmse,28.50875069041177
Airlines_depdelay_1m,reg,Random Forest,rmse,28.51100810232899
Airlines_depdelay_1m,reg,Xgboost,rmse,28.204087486449726
Allstate_claims_severity,reg,Baseline,rmse,2904.0929456121767
Allstate_claims_severity,reg,CatBoost,rmse,1969.8109143938786
Allstate_claims_severity,reg,Decision Tree,rmse,2351.3826968941967
Allstate_claims_severity,reg,Extra Trees,rmse,2391.976448177481
Allstate_claims_severity,reg,LightGBM,rmse,1944.0064577165529
Allstate_claims_severity,reg,Neural Network,rmse,2042.3497565582386
Allstate_claims_severity,reg,Random Forest,rmse,2375.055781088526
Allstate_claims_severity,reg,Xgboost,rmse,1941.670969178861
Amazon_commerce_reviews,multi,Baseline,accuracy,0.02
Amazon_commerce_reviews,multi,CatBoost,accuracy,0.7693333333333333
Amazon_commerce_reviews,multi,Decision Tree,accuracy,0.18133333333333335
Amazon_commerce_reviews,multi,Extra Trees,accuracy,0.204
Amazon_commerce_reviews,multi,LightGBM,accuracy,0.7073333333333334
Amazon_commerce_reviews,multi,Neural Network,accuracy,0.358
Amazon_commerce_reviews,multi,Random Forest,accuracy,0.21333333333333335
Amazon_commerce_reviews,multi,Xgboost,accuracy,0.7253333333333334
Amazon_employee_access,binary,Baseline,accuracy,0.9421099209618847
Amazon_employee_access,binary,CatBoost,accuracy,0.9554456956269645
Amazon_employee_access,binary,Decision Tree,accuracy,0.9421099209618847
Amazon_employee_access,binary,Extra Trees,accuracy,0.9424150874301932
Amazon_employee_access,binary,LightGBM,accuracy,0.9506240654276908
Amazon_employee_access,binary,Neural Network,accuracy,0.9425066373706857
Amazon_employee_access,binary,Random Forest,accuracy,0.9425066373706857
Amazon_employee_access,binary,Xgboost,accuracy,0.9494339162012878
Aps_failure,binary,Baseline,accuracy,0.9819078947368421
Aps_failure,binary,CatBoost,accuracy,0.9946578947368421
Aps_failure,binary,Decision Tree,accuracy,0.9889342105263158
Aps_failure,binary,Extra Trees,accuracy,0.9912631578947368
Aps_failure,binary,LightGBM,accuracy,0.995
Aps_failure,binary,Neural Network,accuracy,0.9924078947368421
Aps_failure,binary,Random Forest,accuracy,0.9922105263157894
Aps_failure,binary,Xgboost,accuracy,0.9950789473684211
Bank_marketing,binary,Baseline,accuracy,0.8830151954170445
Bank_marketing,binary,CatBoost,accuracy,0.9114596005396917
Bank_marketing,binary,Decision Tree,accuracy,0.8947601247484019
Bank_marketing,binary,Extra Trees,accuracy,0.900157041427971
Bank_marketing,binary,LightGBM,accuracy,0.9109066377651457
Bank_marketing,binary,Neural Network,accuracy,0.9020149963504457
Bank_marketing,binary,Random Forest,accuracy,0.9056203136404857
Bank_marketing,binary,Xgboost,accuracy,0.910574860100418
Banknote_authentication,binary,Baseline,accuracy,0.5553935860058309
Banknote_authentication,binary,CatBoost,accuracy,0.9985422740524781
Banknote_authentication,binary,Decision Tree,accuracy,0.9635568513119533
